hyperfile,file,runid,new,P,Q,nlive,niter,logl,logz,logzerr,information,walltime
hyper_cmp,awb/arctic_a0094,0,False,0,1,500,3890,-56.3273124264572,-63.262887496083266,0.15449574046775247,5.897388250887943,48.07023787498474
hyper_cmp,awb/arctic_a0094,0,False,1,1,500,3889,-66.70917950496448,-73.64410387895678,0.1548572303325969,5.883052678254998,77.58194541931152
hyper_cmp,awb/arctic_a0094,0,False,2,1,500,4058,-12.076627719992217,-19.345214164466807,0.15834087493969023,6.253684484529639,112.65040922164917
hyper_cmp,awb/arctic_a0094,0,False,3,1,500,4470,108.80832349168881,100.71627477094744,0.16861405462194318,7.076227322935964,154.0083920955658
hyper_cmp,awb/arctic_a0094,0,False,4,1,500,4420,121.63130500029794,113.6415198788059,0.1671544572913125,6.987103914213122,193.68965888023376
hyper_cmp,awb/arctic_a0094,0,False,5,1,500,4508,113.17070948093368,105.00232704770404,0.16898383323244393,7.177868447244705,257.91790986061096
hyper_cmp,awb/arctic_a0094,0,False,6,1,500,4430,105.45843456525056,97.44305724943284,0.16734344039673504,7.005772429946006,301.9464416503906
hyper_cmp,awb/arctic_a0094,0,False,7,1,500,3986,126.17351305724213,119.05604850042086,0.1563829472601567,6.12374789449936,294.2840805053711
hyper_cmp,awb/arctic_a0094,0,False,8,1,500,3607,125.31994493664025,118.94793329213108,0.14776194466466988,5.2893438650264955,311.23340129852295
hyper_cmp,awb/arctic_a0094,0,False,9,1,500,3064,119.54277203682369,114.28311085609965,0.1271324719158644,4.4461906741367585,250.0576331615448
hyper_cmp,awb/arctic_a0094,0,False,10,1,500,3337,133.0298790080141,127.1770370947752,0.13990682614111052,4.7434935749901825,331.1911447048187
hyper_cmp,awb/arctic_a0094,0,False,0,2,500,6109,-49.11751374757017,-60.60957377995559,0.2129623178224299,9.431444206790772,115.98807287216187
hyper_cmp,awb/arctic_a0094,0,False,1,2,500,6113,-59.63070140539123,-71.123595982197,0.213818685091454,9.40336623581608,162.87799882888794
hyper_cmp,awb/arctic_a0094,0,False,2,2,500,6756,17.862735226065112,5.070879222028384,0.22654956598552967,10.654873418991976,242.1496798992157
hyper_cmp,awb/arctic_a0094,0,False,3,2,500,7725,172.7416599121946,158.026808214578,0.2413348686445042,12.786204211171992,347.1519281864166
hyper_cmp,awb/arctic_a0094,0,False,4,2,500,8381,250.74866058105164,234.72115897075972,0.2519471117701099,14.058699551296883,479.12750816345215
hyper_cmp,awb/arctic_a0094,0,False,5,2,500,8476,256.44076354857657,240.22447107586325,0.25362548171133803,14.259603953981014,587.6724636554718
hyper_cmp,awb/arctic_a0094,0,False,6,2,500,8870,326.2712300251075,309.26332725892837,0.25992413135833914,15.034975275175043,752.4972817897797
hyper_cmp,awb/arctic_a0094,0,False,7,2,500,9173,374.6403353177473,357.0448600941827,0.26470009730930755,15.67995553548917,927.252313375473
hyper_cmp,awb/arctic_a0094,0,False,8,2,500,10298,530.0910034117785,510.23186614657806,0.2807636662796233,17.891562745247768,1241.8283581733704
hyper_cmp,awb/arctic_a0094,0,False,9,2,500,9671,548.1798473059067,529.5710436280104,0.27209129772528606,16.60572306034237,1297.9842433929443
hyper_cmp,awb/arctic_a0094,0,False,10,2,500,9480,572.8228307885058,554.5925589372754,0.26862461089455125,16.218004860222095,1462.0697581768036
hyper_cmp,awb/arctic_a0094,0,False,0,3,500,7047,-60.054014694027565,-73.48443817632611,0.23724242607504342,10.59831103342075,166.60735511779785
